"productDisplayName","publisherDisplayName","versionDisplayName"
"TDP SecureAnyBox Launcher","TDP s.r.o.","2.6.0.0"
"gsudo","Gerardo Grignoli","2.6.0"
"Delinea Connection Manager","Delinea","2.6.1.6"
"OpenVPN","OpenVPN Technologies, Inc.","2.6.14 (2.6.1402)"
"Wildix Collaboration","Wildix Inc.","2.6.13.304"
"Mozilla SeaMonkey","Mozilla","2.53.20"
"XnSoft XnView Standard","XnSoft","2.52.0"
"Akiflow","Akiflow","2.53.7"
"Plex Media Player","Plex","2.58.0.1076"
"Krisp","Krisp","2.57.13"
"IronPython","IronPython Team","2.7.12"
"KeePassXC","KeePassXC","2.7.10"
"AVer Information A+ Suite","AVer Information Inc","2.7.2192.195"
"AirParrot 2","Squirrels","2.7.5"
"Zoho WorkDrive","Zoho Corporation Pvt. Ltd","2.7.48"
"Cube Browser","Rystad Energy","2.6.46.0"
"ClassPoint","Inknoe","2.6.16.0"
"Microsoft Azure CLI","Microsoft","2.60.0"
"Amazon Kindle","Amazon","2.7.1.70978"
"Yubico PIV Tool","Yubico AB","2.7.0"
"XnSoft XnView Minimal","XnSoft","2.52.0"
"Striata Reader","Doxim LLC","2.31.2.0"
"Arduino IDE","Arduino","2.3.6"
"LogMeIn Hamachi","LogMeIn","2.4.0.23"
"Vagrant","HashiCorp","2.4.7"
"Egnyte WebEdit","Egnyte, Inc.","2.4.1100.79"
"Microsoft Skype TX","Microsoft","2.25.424.1"
"Tabular Editor 2","Tabular Editor ApS","2.24.1"
"MSEndpointMgr Intune Debug Toolkit","MSEndpointMgr","2.3"
"Sophos Connect","Sophos","2.3.3003.0207"
"Atlassian Companion","Atlassian Inc","2.3.0"
"Spectrometry","PASCO scientific","2.5.0.4"
"Beam Studio","FLUX, Inc.","2.5.0"
"UrBackup Client","Martin Raiber","2.5.25"
"XnSoft XnView Extended","XnSoft","2.52.0"
"Git","The Git Development Community","2.50.0.2"
"Genesys Cloud","Genesys","2.43.825"
"ScreenToGif","Nicke Manarin","2.41.3"
"Box Drive","Box","2.44.209"
"IAP Desktop","Google","2.46.1737"
"BlueJeans 2","Blue Jeans","2.45.37"
"GitHub CLI","GitHub, Inc.","2.74.2"
"Microsoft Azure Data CLI","Microsoft","20.3.14"
"Microsoft SQL Server Management Studio 20","Microsoft","20.2.37.0"
"Zulu JDK 20 (STS)","Azul Systems, Inc.","20.32.11"
"Endnote 20","Clarivate","20.6.0.17174"
"MAXQDA 2020 Reader","Verbi GmbH","20.4.1"
"PaperCut MF","PaperCut Software Pty Ltd","20.1.10.68866"
"PaperCut NG","PaperCut Software Pty Ltd","20.0.4.55452"
"PaperCut NG","PaperCut Software Pty Ltd","20.1.10.68867"
"Node.js 20 LTS","Node.js Foundation","20.19.3"
"Snagit 2020","TechSmith Corporation","20.1.8"
"Camtasia Studio 2019","TechSmith Corporation","2019.0.11.17779"
"Snagit 2018","TechSmith Corporation","2018.2.6"
"DataGrip 2020.3","JetBrains","2020.3.2"
"DataGrip 2021.1","JetBrains","2021.1.3"
"GoLand 2021.1","JetBrains","2021.1.3"
"Bridge Designer 2016","Stephen J. Ressler","2016.2"
"NVivo 13","Lumivero","20.7.2.1560"
"DataGrip 2016.3","JetBrains","2016.3.4"
"GoLand 2017.3","JetBrains","2017.3.5"
"FactSet Workstation","FactSet Research Systems Inc.","2016.63.030.012"
"PaperCut MF","PaperCut Software Pty Ltd","20.0.4.55447"
"Filius","Stefan Freischlad","2.9.3"
"SHOTPlus Underground","Orica Limited","2.9.1.0"
"Maxcut","Maxima Software (Pty) Ltd","2.9.5.1"
"Blender","Blender Foundation","2.90.1"
"LucidLink Classic","LucidLink","2.9.6811"
"TightVNC","TightVNC","2.8.85.0"
"Microsoft Azure CLI","Microsoft","2.75.0"
"Blender","Blender Foundation","2.81.0"
"Blender","Blender Foundation","2.83.20"
"Blender","Blender Foundation","2.82.1"
"Eclipse Temurin JDK with Hotspot 20","Eclipse Foundation","20.0.2.9"
"Eclipse Temurin JRE with Hotspot 20","Eclipse Foundation","20.0.2.9"
"IBM Semeru Runtime Open Edition JDK 20","Semeru","20.0.2.9"
"Able2Extract Professional","Investintech.com Inc.","20.0.3.0"
"IBM Semeru Runtime Open Edition JRE 20","Semeru","20.0.2.9"
"Blender","Blender Foundation","2.92.0"
"Blender","Blender Foundation","2.91.2"
"Blender","Blender Foundation","2.93.18"
"Path Copy Copy","Charles Lechasseur","20.0"
"Salesforce CLI sf v2","Salesforce","2.94.6"
"PaperCut NG","PaperCut Software Pty Ltd","19.0.7.50109"
"Amazon Corretto JDK 19","Amazon","19.0.2.7.1"
"PaperCut MF","PaperCut Software Pty Ltd","19.0.7.50110"
"Snagit 2019","TechSmith Corporation","19.1.7"
"PaperCut MF","PaperCut Software Pty Ltd","19.1.6.53125"
"Eclipse Temurin JRE with Hotspot 19","Eclipse Foundation","19.0.2.7"
"Meta Spark Player","Meta Platforms, Inc.","187.0.8"
"Eclipse Temurin JDK with Hotspot 19","Eclipse Foundation","19.0.2.7"
"IBM Semeru Runtime Open Edition JRE 19","Semeru","19.0.2.7"
"IBM Semeru Runtime Open Edition JDK 19","Semeru","19.0.2.7"
"Administrative Templates (ADMX) for Windows 10","Microsoft","2.0"
"Node.js 19","Node.js Foundation","19.9.0"
"Calibrite Profiler","Calibrite","2.0.0"
"Administrative Templates (ADMX) for Windows 10","Microsoft","2.0.1607"
"Clockify","Cake.com Inc.","2.0.0"
"PaperCut MF","PaperCut Software Pty Ltd","19.2.7.62195"
"LucaNet.Excel-Add-In","Lucanet AG","19.11.7.1245"
"PaperCut NG","PaperCut Software Pty Ltd","19.2.7.62200"
"Parallels Client 19","Parallels International GmbH","19.4.25221"
"Endnote X9","Clarivate","19.3.3.13966"
"Microsoft OLE DB Driver 18 for SQL Server","Microsoft","18.7.5"
"IBM Semeru Runtime Open Edition JDK 18","Semeru","18.0.2.9"
"IBM Semeru Runtime Open Edition JRE 18","Semeru","18.0.2.9"
"Amazon Corretto JDK 18","Amazon","18.0.2.9.1"
"LucaNet.Excel-Add-In","Lucanet AG","18.11.27.1216"
"Camtasia Studio 2018","TechSmith Corporation","18.0.8.4591"
"Node.js 17","Node.js Foundation","17.9.1"
"Microsoft Visual Studio 2022 Enterprise","Microsoft","17.8.36129.11"
"FXHOME HitFilm Express","FXHOME","18.0.12006.43385"
"Eclipse Temurin JDK with Hotspot 18","Eclipse Foundation","18.0.2.101"
"Eclipse Temurin JRE with Hotspot 18","Eclipse Foundation","18.0.2.101"
"PaperCut NG","PaperCut Software Pty Ltd","18.3.8.48907"
"Parallels Client 18","Parallels International GmbH","18.3.22916"
"PaperCut MF","PaperCut Software Pty Ltd","18.3.9.49587"
"BurnAware Free","Burnaware","18.7"
"Zulu JDK 18 (STS)","Azul Systems, Inc.","18.32.13"
"Endnote X8","Clarivate","18.2.0.11343"
"3CX Desktop App","3CX","18.13.959.0"
"PaperCut MF","PaperCut Software Pty Ltd","18.2.6.46457"
"Node.js 18 LTS","Node.js Foundation","18.20.8"
"PaperCut NG","PaperCut Software Pty Ltd","18.2.6.46458"
"Poly Lens Desktop App","Plantronics","2.0.17.2119"
"WinDirStat","WinDirStat Team","2.2.2"
"HP Prime Virtual Calculator","HP","2.2.15257"
"Microsoft .NET Core 2.2","Microsoft","2.2.8.28209"
"UNIVERGE BLUE CONNECT","NEC Platforms, Ltd.","2.20.9"
"Microsoft Universal Print Connector","Microsoft","2.2.9203.40541"
"TortoiseGit","TortoiseGit","2.17.0.2"
"WinMerge","Thingamahoochie Software","2.16.48.2"
"Windows 10 Codec Pack","Cole Williams Software Limited","2.2.0"
"Talkdesk","Talkdesk, Inc.","2.2.1.0"
"OrcaSlicer","SoftFever","2.2.0"
"Defraggler","Piriform Ltd","2.22.995"
"SHOTPlus Tunnel","Orica Limited","2.22.2.0"
"Simplenote","Automattic","2.23.2"
"Microsoft Surface Diagnostic Toolkit for Business","Microsoft","2.239.139.0"
"Articulate Replay 360","Articulate","2.23.24149.0"
"Elevate UC","Serverdata.net, Inc.","2.21.50.0"
"Class","Class Technologies, Inc.","2.21.0"
"Intermedia Unite","Intermedia.net, Inc.","2.21.50.0"
"MatterControl","MatterHackers Inc.","2.22.04.11498"
"Cloud Drive Mapper","IAM Technology Group Ltd","2.22.0.1"
"dRofus","dRofus","2.15.15.1024"
"AxCrypt","AxCrypt AB","2.1.1693.0"
"PDFgear","PDFgear","2.1.12"
"Microsoft Bot Framework Composer","Microsoft","2.1.2"
"grepWin","Stefans Tools","2.1.9.1420"
"Amazon Redshift ODBC driver","Amazon Web Services, Inc","2.1.7.0"
"iMazing","DigiDNA SARL","2.0.9"
"DiRoots ProSheets","DiRoots, LDA","2.0.8"
"Fortify","PeculiarVentures","2.1.0"
"Bambu Studio","Bambu Lab","2.1.1"
"Bullzip PDF to Word","Bullzip","2.1.0.0"
"Pidgin","Pidgin","2.14.14"
"Mendeley Reference Manager","Mendeley Ltd","2.135.0.319"
"Microsoft Power BI Desktop","Microsoft","2.144.1155.0"
"Autodesk Access","Autodesk Inc.","2.15.0.546"
"CPU-Z","CPUID, Inc","2.15"
"Steam","Steam","2.10.91.91"
